	Gewinn Gesamt	Kosten
276	-134916.58149413424	180919.58349413425
277	-127915.70149413423	180924.10549413424
278	-127735.23949413424	180928.62849413423
279	-133655.47249413424	180933.15049413423
280	-133506.49749413424	180937.67349413424
281	-128028.76349413424	180942.19649413423
282	-127864.24349413424	180946.71849413423
283	-127117.82449413424	180951.24149413424
284	-126939.84849413423	180955.76349413424
285	-135180.82149413423	180960.28649413423
286	-135041.85549413424	180964.80849413422
287	-122759.03049413423	180969.33149413424
288	-122566.80749413423	180973.85349413424
289	-134023.15449413424	180978.37649413425
290	-133879.63549413424	180982.89849413425
291	-122088.24349413424	180987.42149413424
292	-121904.74749413424	180991.94349413423
293	-133583.87249413424	180996.46649413425
294	-133442.69749413425	181000.98949413424
295	-133062.82849413424	181005.51149413423
296	-132919.41849413424	181010.03449413425
297	-132778.74649413425	181014.55649413425
298	-132632.93949413425	181019.07949413423
299	-134220.61549413425	181023.60149413423
300	-134086.42649413424	181028.12449413424
301	-136360.92649413424	181032.64649413424
302	-136238.76549413425	181037.16949413423
303	-127100.25949413424	181041.69149413423
304	-126948.29549413425	181046.21449413424
305	-130155.43449413424	181050.73749413423
306	-130003.98749413423	181055.25949413422
307	-142996.88249413425	181059.78249413424
308	-142896.88149413423	181064.30449413424
309	-141846.73149413423	181068.82749413422
310	-141751.98949413424	181073.34949413425
311	-133235.69049413424	181077.87249413424
312	-133109.70949413424	181082.39449413423
313	-134356.56149413425	181086.91749413425
314	-134238.27249413423	181091.43949413425
315	-139469.86249413423	181095.96249413423
316	-139369.53849413423	181100.48549413425
317	-134339.61949413424	181105.00749413425
318	-134221.61049413425	181109.53049413423
319	-122490.02149413424	181114.05249413423
320	-122334.61749413423	181118.57549413425
321	-133826.89249413426	181123.09749413424
322	-133710.79749413423	181127.62049413423
323	-133460.77249413423	181132.14249413423
324	-133340.87049413423	181136.66549413424
325	-124002.00649413423	181141.18749413424
326	-123851.72749413425	181145.71049413423
327	-119581.49849413424	181150.23249413425
328	-119417.66149413424	181154.75549413424
329	-132076.66649413423	181159.27849413423
330	-131952.02549413423	181163.80049413425
331	-133868.43949413425	181168.32349413424
332	-133749.80549413426	181172.84549413424
333	-126501.73449413423	181177.36849413425
334	-126359.73849413425	181181.89049413425
335	-136166.41349413423	181186.41349413423
336	-136060.05649413425	181190.93549413423
337	-128299.56949413424	181195.45849413425
338	-128166.80749413423	181199.98049413424
339	-120986.42649413424	181204.50349413423
340	-120839.43249413423	181209.02649413425
341	-126432.97049413424	181213.54849413424
342	-126303.83249413423	181218.07149413423
343	-126658.03149413424	181222.59349413423
344	-126530.19449413424	181227.11649413424
345	-125661.20849413425	181231.63849413424
346	-125529.07749413424	181236.16149413423
347	-114677.87949413423	181240.68349413422
348	-114515.23549413425	181245.20649413424
